Date,Title,Author
1/2/2000,Harry Potter and the Chamber of Secrets ,J.K. Rowling
1/2/2000,Harry Potter and the Prisoner of Azkaban,J.K. Rowling
1/2/2000,Harry Potter and the Sorcerer's Stone,J.K. Rowling
1/2/2000,Timeline ,Michael Crichton
1/2/2000,Atlantis Found,Clive Cussler
1/2/2000,Hearts in Atlantis,Stephen King
1/2/2000,Irresistible Forces,Danielle Steel
1/2/2000,A Walk To Remember,Nicholas Sparks
1/2/2000,Saving Faith,David Baldacci
1/2/2000,Monster ,Jonathan Kellerman
1/2/2000,Pop Goes the Weasel ,James Patterson
1/2/2000,Personal Injuries,Scott Turow
1/2/2000,Hunting Badger,Tony Hillerman
1/2/2000,"""O"" is for Outlaw",Sue Grafton
1/2/2000,Plainsong,Kent Haruf
1/9/2000,Hannibal ,Thomas Harris
1/16/2000,False Memory,Dean Koontz
1/16/2000,Soft Focus,Jayne Ann Krentz
1/23/2000,The Lion's Game,Nelson Demille
1/23/2000,Sick Puppy,Carl Hiaasen
1/30/2000,The Cat Who Robbed a Bank,Lilian Jackson Braun
1/30/2000,Secret Honor,W.E.B Griffin
1/30/2000,The Attorney,Steve Martini 
1/30/2000,The Legend of Luke,Brian Jacques
2/6/2000,Gap Creek,Robert Morgan
2/20/2000,The Brethren ,John Grisham
2/27/2000,"Bud, Not Buddy",Christopher Paul Curtis
3/5/2000,Daughter of Fortune,Isabel Allende
3/5/2000,City of God,E.L. Doctorow
3/12/2000,Moment of Truth,Lisa Scottoline
3/12/2000,Girl with the Pearl Earring,Tracy Chevalier
3/19/2000,Bridget Jones: The Edge of Reason,Helen Fielding
3/19/2000,Tough Cookie,Diane Mott Davidson 
3/19/2000,Day of Reckoning,Jack Higgins
3/19/2000,Ashes of Victory,David Weber
3/19/2000,Beowulf,Translated by Deamus Heaney
3/26/2000,Carolina Moon,Nora Roberts
4/2/2000,Dragons of a Fallen Sun,Margaret Weis & Tracy Hickman
4/2/2000,Where You Belong,Barbara Taylor Bradford
4/9/2000,Deep South,Nevada Barr
4/16/2000,Back Roads,Tawni O'Dell
4/16/2000,The Gates of the Alamo,Stephen Harrigan
4/23/2000,The Wedding,Danielle Steel
4/23/2000,Hugger Mugger,Robert B. Parker
4/23/2000,Wicked Widow,Amanda Quick
4/23/2000,Horse Heaven,Jane Smiley
4/30/2000,The Patient,Michael Palmer
5/7/2000,Before I Say Goodbye,Mary Higgins Clark
